invoice_number,customer_id,customer_name,industry,country,invoice_date,due_date,invoice_amount,amount_paid,outstanding_amount,payment_terms_days,avg_days_late,promise_reliability,last_contact_days,promise_status,promise_amount,promise_date,dispute_type,sales_owner,email
INV-10321,C063,Monarch Systems,Consulting,USA,2026-05-14,2026-06-13,1284.46,0.0,1284.46,30,9,0.75,18,,0.0,,,Owner 7,finance63@example.com
INV-10322,C018,Stonebridge Partners,Staffing,UK,2026-05-28,2026-06-12,4320.7,1080.18,3240.52,15,5,0.92,10,,0.0,,,Owner 2,finance18@example.com
INV-10323,C057,Clarity Services,Consulting,UAE,2026-04-03,2026-06-02,2364.8,0.0,2364.8,60,13,0.75,15,,0.0,,,Owner 1,finance57@example.com
INV-10324,C004,BluePeak Consulting,Digital Agency,UK,2026-04-29,2026-06-13,6960.24,1740.06,5220.19,45,2,0.92,20,pending,3915.14,2026-08-23,,Owner 4,finance4@example.com
INV-10325,C025,Westlake Group,B2B SaaS,Canada,2026-04-19,2026-05-19,16553.73,0.0,16553.73,30,27,0.55,9,,0.0,,,Owner 1,finance25@example.com
INV-10326,C032,Maple Solutions,Digital Agency,Canada,2026-05-27,2026-06-11,2199.33,0.0,2199.33,15,2,0.92,18,,0.0,,,Owner 8,finance32@example.com
INV-10327,C002,Horizon Solutions,Logistics Tech,Australia,2026-02-07,2026-03-24,4279.52,0.0,4279.52,45,9,0.75,6,missed,2139.76,2026-08-15,,Owner 2,finance2@example.com
INV-10328,C002,Horizon Solutions,Logistics Tech,Australia,2026-03-14,2026-04-28,2981.83,745.46,2236.37,45,9,0.75,4,,0.0,,,Owner 2,finance2@example.com
INV-10329,C019,Clearwater Technologies,B2B SaaS,USA,2026-03-25,2026-04-24,2701.8,0.0,2701.8,30,2,0.92,22,,0.0,,,Owner 3,finance19@example.com
INV-10330,C034,Elevate Consulting,Digital Agency,UAE,2026-04-13,2026-05-13,1947.53,0.0,1947.53,30,9,0.75,13,,0.0,,approval_pending,Owner 2,finance34@example.com
INV-10331,C016,Lattice Labs,IT Services,UK,2026-02-08,2026-03-25,2363.74,0.0,2363.74,45,1,0.92,3,,0.0,,,Owner 8,finance16@example.com
INV-10332,C038,Quantum Partners,IT Services,Canada,2026-03-09,2026-04-08,2993.78,0.0,2993.78,30,2,0.92,6,,0.0,,,Owner 6,finance38@example.com
INV-10333,C050,Nexus Works,B2B SaaS,UK,2026-03-26,2026-04-25,2078.69,0.0,2078.69,30,10,0.75,4,pending,1559.02,2026-08-17,,Owner 2,finance50@example.com
INV-10334,C047,Catalyst Services,Consulting,USA,2026-04-06,2026-05-06,5257.11,0.0,5257.11,30,2,0.92,22,,0.0,,purchase_order,Owner 7,finance47@example.com
INV-10335,C003,Vertex Systems,Consulting,UAE,2026-02-16,2026-04-17,2200.76,0.0,2200.76,60,8,0.75,14,missed,1100.38,2026-08-10,,Owner 3,finance3@example.com
INV-10336,C037,Apex Services,Consulting,Australia,2026-04-01,2026-05-01,9463.67,0.0,9463.67,30,10,0.75,16,,0.0,,invoice_error,Owner 5,finance37@example.com
INV-10337,C014,Sterling Consulting,Staffing,Canada,2026-03-20,2026-04-19,12289.86,0.0,12289.86,30,8,0.75,16,,0.0,,,Owner 6,finance14@example.com
INV-10338,C046,Delta Labs,Consulting,Canada,2026-02-11,2026-03-28,4115.41,0.0,4115.41,45,45,0.3,1,pending,3086.56,2026-08-17,invoice_error,Owner 6,finance46@example.com
INV-10339,C013,Orion Systems,IT Services,UK,2026-03-20,2026-04-19,14640.79,0.0,14640.79,30,28,0.55,21,pending,10980.6,2026-08-16,,Owner 5,finance13@example.com
INV-10340,C050,Nexus Works,B2B SaaS,UK,2026-02-24,2026-03-26,1352.49,0.0,1352.49,30,10,0.75,1,pending,1352.49,2026-08-21,,Owner 2,finance50@example.com
INV-10341,C024,Keystone Consulting,Staffing,Australia,2026-02-08,2026-04-09,961.44,0.0,961.44,60,14,0.75,21,pending,480.72,2026-08-21,,Owner 8,finance24@example.com
INV-10342,C080,Juniper Works,Staffing,USA,2026-02-05,2026-04-06,2884.83,0.0,2884.83,60,27,0.55,15,missed,1442.41,2026-08-10,,Owner 8,finance80@example.com
